Iteration	Lh	Tree No	q12	q13	q21	q24	q31	q34	q42	q43	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	Node01 - P(0,0)	Node01 - P(0,1)	Node01 - P(1,0)	Node01 - P(1,1)	
119000	-216.560418	24	0.692300	0.243670	3.477335	0.554219	9.731343	3.766401	1.521367	0.915701	1.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	
120000	-214.333849	10	0.386522	0.209596	3.917214	0.287945	6.536826	2.585280	1.138280	0.657991	1.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	
121000	-212.123374	77	0.561465	0.091870	2.891704	0.594056	4.651840	0.144642	1.432332	0.828171	1.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	
122000	-209.165036	46	0.690631	0.265974	3.324248	0.536202	1.912499	4.553766	1.058064	0.010940	1.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	
123000	-210.431508	99	0.726339	0.217598	5.073154	0.201986	1.523270	2.233493	2.030513	0.146663	1.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	
124000	-213.075086	61	0.605395	0.173602	3.232046	0.284269	3.669762	0.668856	0.413728	0.754761	1.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	
125000	-206.796606	67	0.499886	0.154267	2.105733	0.607705	2.701750	1.842972	0.683814	0.091760	1.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	
126000	-206.175873	67	0.528855	0.209798	1.716338	0.170982	3.790856	4.945248	1.520239	0.128553	1.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	
127000	-210.682363	48	0.485131	0.176937	2.686656	0.739417	0.598012	1.459695	1.332282	0.738750	1.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	
128000	-212.642774	81	0.509630	0.322097	2.528517	0.986726	3.495406	3.504410	2.357869	0.166537	1.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	
129000	-212.917426	67	0.510865	0.175213	2.322853	1.314059	1.709960	1.835799	0.486457	1.726129	1.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	
130000	-212.878395	78	0.433141	0.199478	1.434556	0.681352	0.142576	3.315373	2.355410	0.355459	1.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	
131000	-211.897670	62	0.650396	0.064768	2.347505	1.515018	2.630658	0.302539	0.889247	0.961401	1.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	
132000	-209.566657	99	0.659806	0.157174	2.285610	1.058483	3.656270	3.032475	1.547824	0.074353	1.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	
133000	-207.084101	3	0.420802	0.187811	2.159671	0.228874	2.765945	3.525376	1.686641	0.211446	1.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	
134000	-216.133676	63	0.695929	0.114741	3.758249	0.062848	6.165966	2.068152	1.993075	0.466265	1.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	
135000	-214.460411	99	0.718617	0.531995	2.492564	0.278810	4.200535	6.250574	0.715889	0.027750	1.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	
136000	-210.293624	25	0.483702	0.147557	3.173937	0.564551	6.111087	2.031341	1.472822	0.043923	1.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	
137000	-212.357218	46	0.644900	0.207469	2.622835	1.120305	2.911372	3.513916	2.207289	0.497498	1.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	
138000	-212.283099	86	0.774823	0.085157	4.175275	0.807163	3.200974	1.614454	1.314754	0.533389	1.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	
139000	-215.010349	51	0.403783	0.475884	2.239740	0.544401	5.014369	4.708526	2.343519	0.146557	1.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	
140000	-212.625161	33	0.968702	0.108494	5.140102	0.717301	0.249073	4.288994	1.518680	0.721759	1.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	
141000	-210.130731	67	0.336228	0.221759	3.587787	0.641861	4.085255	3.308662	1.204036	0.629086	1.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	
142000	-212.324728	65	0.616710	0.201158	2.349543	1.060907	3.592365	4.612834	2.429926	0.030365	1.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	
143000	-208.639526	67	0.469341	0.153028	2.301379	0.383681	5.136024	4.349952	1.527203	0.692037	1.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	
144000	-208.629441	67	0.375066	0.291472	1.899225	0.298739	2.533137	4.896561	0.831700	0.402798	1.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	
145000	-212.217910	61	0.612120	0.140373	3.350455	0.307336	0.128876	4.892394	1.241151	1.385102	1.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	
146000	-214.307242	65	1.065910	0.084791	4.089289	0.733556	1.078404	3.257659	1.742430	0.003856	1.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	
147000	-208.259727	46	0.602723	0.189363	2.121191	0.168372	0.151798	4.053525	0.815414	0.337261	1.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	
148000	-212.438830	3	1.072662	0.216547	4.140627	0.267187	2.889938	6.537098	1.605640	0.389036	1.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	
149000	-213.952137	30	0.708008	0.165208	4.011597	0.496395	5.966116	3.727642	1.059780	0.476955	1.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	
150000	-211.318520	99	0.468899	0.364159	3.030648	0.439267	5.022213	6.773787	1.830049	0.176900	1.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	
151000	-211.803244	49	0.673373	0.344374	5.607674	0.370223	2.717951	0.134158	1.073295	0.219842	1.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	
152000	-215.279781	26	0.724728	0.036239	2.117804	1.339583	3.759933	0.140924	0.967005	0.868726	1.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	
153000	-216.185493	33	0.583853	0.425222	3.824810	0.940596	5.390989	1.385040	1.280788	1.276985	1.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	
154000	-209.893289	67	0.703410	0.229594	3.944213	0.156265	1.066509	3.597634	1.601710	0.737027	1.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	
155000	-210.544935	88	0.547504	0.089022	4.373157	0.460171	2.347269	2.890224	0.811508	0.245638	1.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	
