Iteration,Lh,Tree No,No Off Parmeters,No Off Zero,Model string,Dep / InDep,q12,q13,q21,q24,q31,q34,q42,q43,"Root - P(0,0)","Root - P(0,1)","Root - P(1,0)","Root - P(1,1)","Node01 - P(0,0)","Node01 - P(0,1)","Node01 - P(1,0)","Node01 - P(1,1)"
146000,-216.525937,32,2,0,'0 0 1 0 1 0 0 0 ,D,0.530955,0.530955,3.999382,0.530955,3.999382,0.530955,0.530955,0.530955,1,0,0,0,1,0,0,0
147000,-211.371584,77,3,1,'2 0 1 2 2 2 2 Z ,D,0.590067,0.18048,2.5195,0.590067,0.590067,0.590067,0.590067,0,1,0,0,0,1,0,0,0
148000,-206.496246,67,3,2,'2 1 0 2 Z 0 2 Z ,D,0.596498,0.214925,2.677292,0.596498,0,2.677292,0.596498,0,1,0,0,0,1,0,0,0
149000,-211.695156,67,2,1,'1 1 0 1 0 0 1 Z ,D,0.409748,0.409748,1.595262,0.409748,1.595262,1.595262,0.409748,0,1,0,0,0,1,0,0,0
150000,-214.448318,61,2,0,'0 0 1 0 1 1 0 0 ,D,0.363583,0.363583,2.027416,0.363583,2.027416,2.027416,0.363583,0.363583,1,0,0,0,1,0,0,0
151000,-210.689246,65,3,1,'0 2 1 2 Z 1 0 0 ,D,0.536684,0.198374,2.758063,0.198374,0,2.758063,0.536684,0.536684,1,0,0,0,1,0,0,0
152000,-210.772114,67,2,1,'0 0 1 0 1 1 0 Z ,D,0.431977,0.431977,2.175973,0.431977,2.175973,2.175973,0.431977,0,1,0,0,0,1,0,0,0
153000,-217.914425,27,2,1,'1 1 0 1 0 Z 1 1 ,D,0.331093,0.331093,5.630262,0.331093,5.630262,0,0.331093,0.331093,1,0,0,0,1,0,0,0
154000,-214.088456,3,2,0,'1 1 0 1 1 0 1 1 ,D,0.248052,0.248052,4.857931,0.248052,0.248052,4.857931,0.248052,0.248052,1,0,0,0,1,0,0,0
155000,-214.145171,81,2,1,'0 0 1 0 1 1 0 Z ,D,0.339069,0.339069,1.931467,0.339069,1.931467,1.931467,0.339069,0,1,0,0,0,1,0,0,0
156000,-212.643851,67,2,1,'0 0 1 0 0 Z 0 0 ,D,0.350589,0.350589,3.777053,0.350589,0.350589,0,0.350589,0.350589,1,0,0,0,1,0,0,0
157000,-216.959682,67,2,0,'0 0 1 0 0 1 0 0 ,D,0.274023,0.274023,1.047259,0.274023,0.274023,1.047259,0.274023,0.274023,1,0,0,0,1,0,0,0
